k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
5,164626,0.559736013412476,0.417931646108627,0.417933642864227,0.417935937643051,0.417913526296616
5,164628,0.559719628095627,0.417932540178299,0.417933613061905,0.417936533689499,0.417913466691971
5,164630,0.559668934345245,0.417932271957398,0.417933642864227,0.417936891317368,0.417913347482681
5,164632,0.559655100107193,0.417932271957398,0.417933642864227,0.417936861515045,0.417913138866425
5,164634,0.559633237123489,0.417932480573654,0.417933642864227,0.417936682701111,0.417913049459457
10,168182,0.564167088270187,0.483062922954559,0.483051925897598,0.483063369989395,0.483060359954834
10,168184,0.56416380405426,0.483062922954559,0.483051925897598,0.483063369989395,0.483060359954834
10,168186,0.564168190956116,0.483062922954559,0.483051925897598,0.483063369989395,0.483060359954834
10,168188,0.564187961816788,0.483062922954559,0.483051925897598,0.483063369989395,0.483060359954834
