k,epoch,optimal_threshold,non_os_detected_threshold,non_os_all_threshold,detected_threshold,all_threshold
10,1,0.5607788115739822,0.3466690182685852,0.3459765315055847,0.34722959995269775,0.34679707884788513
10,2,0.534480732679367,0.16486364603042603,0.23915995657444,0.16241608560085297,0.21448509395122528
10,3,0.6116277992725372,0.14377182722091675,0.21141783893108368,0.13566602766513824,0.17303304374217987
10,4,0.5490200221538544,0.8082992434501648,0.7691571116447449,0.8130245208740234,0.7454262375831604
10,5,0.5304045915603638,0.7976247072219849,0.7391831278800964,0.812944233417511,0.7863325476646423
10,6,0.5403773605823516,0.8123141527175903,0.774007260799408,0.8194383382797241,0.7902456521987915
10,7,0.5131113231182098,0.8160291314125061,0.799021303653717,0.8218556046485901,0.7966539859771729
10,8,0.5298959374427795,0.8490902185440063,0.8090807795524597,0.8529217839241028,0.8449354767799377
10,9,0.5367688834667206,0.8495020866394043,0.7954382300376892,0.854363739490509,0.8425241112709045
10,10,0.5844490855932236,0.8442153334617615,0.7771649360656738,0.8530585169792175,0.8330793976783752
10,11,0.5395696818828583,0.8453556895256042,0.7785636782646179,0.8522549271583557,0.809586226940155
10,12,0.5782751351594925,0.8444656133651733,0.7773018479347229,0.8518998026847839,0.807278037071228
10,13,0.5885591268539428,0.8448426127433777,0.7765737175941467,0.8536131978034973,0.8078561425209045
10,14,0.5743728458881379,0.8451515436172485,0.7745906710624695,0.8534492254257202,0.8086780309677124
10,15,0.5774746805429458,0.8451217412948608,0.7779628038406372,0.852368175983429,0.8072910904884338
10,16,0.5745391428470612,0.8458501696586609,0.7758881449699402,0.852432131767273,0.8049963712692261
10,17,0.5377948701381683,0.8453585505485535,0.7741907835006714,0.8498884439468384,0.8050883412361145
10,18,0.5370835900306702,0.8447617888450623,0.7790910601615906,0.852298378944397,0.8039795160293579
